Lineage code,Ancestor code,Start date,End date
N257,N256-N2-N198-T67,64.95,64.8
N259-N261-N262-T263,N257,64.8,55.55
N26-N32,N25,18.3,14.8
N264-N265-N276-N278-N281-N283-T284,N259-N261-N262-T263,55.6,23.8
N267,N264-N265-N276-N278-N281-N283-T284,49.55,45.7
N269,N267,45.7,42.8
N27,N25,18.3,5.3
N271-T272,N269,42.8,32.2
N273-T274,N271-T272,33.4,32.6
N279-T280,N264-N265-N276-N278-N281-N283-T284,30.5,19.3
N285-N286-T288,N264-N265-N276-N278-N281-N283-T284,28.9,0
N291-T372,N285-N286-T288,25,2
N292-T299,N366-N298-N300-T304,10.2,0
N30,N26-N32,14.8,14.6
N301-T303,N366-N298-N300-T304,3.8,0
N305,N259-N261-N262-T263,61.2,58.7
N306-T307,N305,58.7,54.45
N308-T309,N306-T307,55.4,52.5
N310-T313,N305,58.7,30.3
N314-N318,N308-T309,54.5,42.4
N315-T316,N314-N318,44.15,0
N319-T320,N314-N318,42.4,23.8
N322,N314-N318,42.4,30.3
N324-N336-N342-N344-N348-N352-N354-T356,N322,30.3,1.3
N325-T361,N324-N336-N342-N344-N348-N352-N354-T356,23.8,15.1
N326-N332-N334-T360,N325-T361,22.7,10.8
N327-N329-T330,N326-N332-N334-T360,21,1.3
N337-N339-T341,N324-N336-N342-N344-N348-N352-N354-T356,22.5,0
N34-N40-T44,N30,14.6,0
N345-T347,N324-N336-N342-N344-N348-N352-N354-T356,17.3,0
N349-T350,N324-N336-N342-N344-N348-N352-N354-T356,14.3,0
N35-N37-T39,N34-N40-T44,10.3,2.4
N358-T229,N223-N225-N227-T228,37.5,33.7
N364-T162,N23-N156-N157-N160-T161,5.7,0
N366-N298-N300-T304,N264-N265-N276-N278-N281-N283-T284,30.2,0
N4-T12,N1-N3,62,45.2
N42-T41,N34-N40-T44,10,4.5
N45-T43,N42-T41,5.8,0
N47,N26-N32,14.8,8.2
N48-T50,N47,8.2,0
N5-N6-N8-T9,N1-N3,62,32.2
N51-N122-T123,N47,8.2,0
N52-N54-T53,N51-N122-T123,7.2,4.4
N56-N58-N59-T61,N52-N54-T53,5.7,0
N62-T63,N56-N58-N59-T61,3.4,1.2
N64-T66,N62-T63,1.4,0
N68-N69-N70-T71,N256-N2-N198-T67,64.87,60.7
N72,N68-N69-N70-T71,60.9,59.5
N76-N101,N68-N69-N70-T71,61.15,60.2
N77-T266,N264-N265-N276-N278-N281-N283-T284,48.4,27.2
N79,N80-N368-N370-T78,58.8,58
N80-N368-N370-T78,N76-N101,60.2,54.45
N83-N84-T85,N76-N101,60.2,50.8
N86-T87,N83-N84-T85,55.85,38
N88-N89-N90-T93,N83-N84-T85,55.9,50.8
N94-T95,N88-N89-N90-T93,54,43.6
N98-T96,N94-T95,52.4,43.9
N99-N125,N76-N101,60.8,56.2
T10,N5-N6-N8-T9,35.8,32
T108,N106-T107,55.4,55.3
T11,N4-T12,59.38,55.9
T111,N110-N112-T113,49.55,48.7
T114,N110-N112-T113,41.6,35.8
T116,N103-N109-N115-N117-T118,51.6,44
T121,N119-T120,43.2,31.8
T124,N51-N122-T123,2,0
T132,N130-N131-N136-N142-N144-T148,53.2,50.4
T134,N133-T135,44.65,40.5
T138,N137-N139-T143,44.5,40.1
T140,N130-N131-N136-N142-N144-T148,44.35,38
T141,N137-N139-T143,44,42.3
T147,N145-T146,41,38.2
T155,N152-T154,13.1,6.7
T158,N23-N156-N157-N160-T161,8,0
T159,N23-N156-N157-N160-T161,10.8,0
T16,N15-N17,40,37.2
T164,N149-N163,34.4,27.4
T169,N168,25.5,24.1
T170,N168,25.5,18.8
T173,N172,29.5,24.3
T174,N172,29.5,0
T176,N177,27.2,3
T178,N177,27.2,3.3
T181,N179-T180,24.1,4.8
T185,N184-N186-N187-N188-T189,60.5,59.3
T194,N193-N195-T197,30.5,11.4
T196,N193-N195-T197,29.8,27.1
T20,N18-T19,34.5,33.8
T202,N201-N998-N295-N203,30.4,22.5
T204,N201-N998-N295-N203,13.8,4.8
T205,N201-N998-N295-N203,13.8,0
T209,N207-T208,37.9,34.3
T211,N206-N210-N212-T213,39.4,34.3
T214,N206-N210-N212-T213,27.5,10.9
T216,N215-N217-N231-N235-T236,51.5,50.9
T22,N21-T24,32.9,30.25
T222,N220-N221-T362,47.2,42.7
T224,N223-N225-N227-T228,43.7,41.4
T226,N223-N225-N227-T228,41.3,38.1
T230,N358-T229,36.4,33.7
T234,N232-T233,45.25,43.1
T243,N241-T242,38,35.8
T245,N239-N240-N244-N246-T247,43.75,36.3
T250,N248-T249,38.4,33.8
T255,N253-T254,40.3,34.3
T258,N257,64.8,60.9
T260,N259-N261-N262-T263,63.7,59.3
T268,N267,45.7,32.1
T270,N269,42.8,33.7
T275,N273-T274,32.9,27.2
T277,N264-N265-N276-N278-N281-N283-T284,47.55,38
T28,N27,5.3,3.9
T282,N279-T280,27.6,22.5
T287,N285-N286-T288,23.2,18.8
T29,N27,5.3,0
T294,N292-T299,0.3,0
T297,N201-N998-N295-N203,15.8,12.1
T302,N301-T303,0.3,0
T31,N30,14.6,14.2
T317,N315-T316,4.5,0
T321,N319-T320,34.5,23.8
T323,N322,30.3,16.3
T328,N327-N329-T330,7.5,0
T33,N26-N32,15.15,4.8
T331,N327-N329-T330,3.3,1.6
T333,N326-N332-N334-T360,17.5,12.1
T335,N326-N332-N334-T360,15.1,0
T338,N337-N339-T341,17,0
T340,N337-N339-T341,3.3,2
T343,N324-N336-N342-N344-N348-N352-N354-T356,21.1,16.4
T346,N345-T347,11.5,3.6
T351,N349-T350,2,0
T353,N324-N336-N342-N344-N348-N352-N354-T356,12.1,2.3
T355,N324-N336-N342-N344-N348-N352-N354-T356,11.5,4.3
T357,N86-T87,49.55,47.55
T359,N310-T313,38.5,28.5
T36,N35-N37-T39,6.5,2.2
T363,N77-T266,45.35,40
T365,N364-T162,5.2,0
T367,N366-N298-N300-T304,29.4,4
T369,N80-N368-N370-T78,55.5,55.3
T371,N80-N368-N370-T78,54.5,54
T373,N291-T372,21.5,0.6
T38,N35-N37-T39,5.7,1.7
T46,N45-T43,3.2,0
T49,N48-T50,3.5,0
T55,N52-N54-T53,5.5,0.9
T57,N56-N58-N59-T61,4.3,3.5
T60,N56-N58-N59-T61,1,0.4
T65,N64-T66,0.8,0
T7,N5-N6-N8-T9,45.25,39.3
T73,N72,59.5,55.9
T74,N72,59.5,43.6
T75,N68-N69-N70-T71,60.75,43
T81,N79,58,54.45
T82,N79,58,55.45
T91,N88-N89-N90-T93,54.1,51.6
T92,N88-N89-N90-T93,54.5,50.4
T97,N98-T96,47.19,45.15
T999,N201-N998-N295-N203,26.3,23.8
